time,open,xgb_prediction,lstm_prediction
2010-06-28,9.67,10.051247,9.255288124084473
2010-06-29,9.93,10.563579,9.354496955871582
2010-06-30,10.3,10.50496,9.501622200012209
2010-07-01,10.18,10.088724,9.458577156066896
2010-07-02,10.05,10.065291,9.296669006347656
2010-07-05,9.95,10.09265,9.198424339294434
2010-07-06,9.85,9.97235,9.172913551330566
2010-07-07,9.82,9.956098,9.093768119812012
2010-07-08,9.8,9.956098,9.104806900024414
2010-07-09,9.8,9.946444,9.155180931091309
2010-07-12,9.77,9.906202,9.063562393188477
2010-07-13,9.93,10.186239,8.935547828674316
2010-07-14,9.72,9.922455,9.048327445983888
2010-07-15,9.9,9.956098,8.99548625946045
2010-07-16,9.93,9.956098,9.006647109985352
2010-07-19,9.9,10.049039,9.005160331726074
2010-07-20,9.85,10.049039,9.090204238891602
2010-07-21,9.8,9.906202,9.088396072387695
2010-07-22,9.72,9.72783,9.054341316223145
2010-07-23,9.55,9.662272,9.01254177093506
2010-07-26,9.52,9.497021,8.983999252319336
2010-07-27,9.55,9.463028,8.865767478942871
2010-07-28,9.3,9.45762,8.886801719665527
2010-07-29,9.52,9.463028,8.822237968444824
2010-07-30,9.3,9.627613,8.79727840423584
2010-08-02,9.42,9.463028,8.80251407623291
2010-08-03,9.4,9.45762,8.745800971984863
2010-08-04,9.3,9.454077,8.741579055786133
2010-08-05,9.37,9.497021,8.760334014892578
2010-08-06,9.37,9.497021,8.791125297546387
2010-08-09,9.22,9.0858755,8.830964088439941
2010-08-10,8.87,8.893917,8.70081901550293
2010-08-11,8.79,8.901418,8.590458869934082
2010-08-12,8.59,8.864128,8.551281929016113
2010-08-13,8.54,8.820108,8.488405227661133
2010-08-16,8.74,9.130276,8.451842308044434
2010-08-17,8.99,9.283172,8.523055076599121
2010-08-18,9.17,9.248744,8.546293258666992
2010-08-19,9.02,9.248744,8.466352462768555
2010-08-20,9.07,9.433518,8.453239440917969
2010-08-23,9.25,9.45762,8.612812995910645
2010-08-24,9.3,9.298689,8.652823448181152
2010-08-25,9.02,9.238734,8.635069847106934
2010-08-26,9.04,9.243773,8.621541023254395
2010-08-27,9.02,9.433518,8.667815208435059
2010-08-30,9.35,9.631955,8.731147766113281
2010-08-31,9.5,9.807144,8.82005786895752
2010-09-01,9.45,9.805734,8.936808586120605
2010-09-06,9.75,9.662272,8.962224960327148
2010-09-07,9.42,9.497021,8.912750244140625
2010-09-08,9.3,9.663683,8.860430717468262
2010-09-09,9.6,9.662272,8.955374717712402
2010-09-10,9.52,9.463028,8.99990177154541
2010-09-13,9.47,9.491612,8.957011222839355
2010-09-14,9.3,9.497021,8.974827766418457
2010-09-15,9.5,9.491612,8.906201362609863
2010-09-16,9.2,9.358321,8.846516609191895
2010-09-17,9.25,9.630928,8.753832817077637
2010-09-20,9.45,9.45762,8.861199378967285
2010-09-21,9.37,9.129752,8.783005714416504
2010-09-22,9.15,9.238734,8.652131080627441
2010-09-23,8.94,9.43856,8.669360160827637
2010-09-24,9.27,9.298689,8.749833106994629
2010-09-27,9.12,9.243705,8.679957389831543
2010-09-28,8.99,9.265847,8.61425495147705
2010-09-29,9.07,9.269407,8.641085624694824
2010-09-30,9.2,9.243773,8.61844539642334
2010-10-01,9.04,9.243705,8.570713996887207
2010-10-04,9.15,9.243705,8.584052085876465
2010-10-05,8.99,9.243773,8.62844181060791
2010-10-06,9.1,9.426206,8.62247371673584
2010-10-07,9.25,9.298689,8.653563499450684
2010-10-08,9.17,9.269407,8.655881881713867
2010-10-11,9.04,9.269407,8.694500923156738
2010-10-12,9.1,9.243705,8.695732116699219
2010-10-13,9.04,9.269407,8.673846244812012
2010-10-14,9.17,9.298689,8.752884864807129
2010-10-15,9.17,9.269407,8.782458305358887
2010-10-18,9.02,9.243705,8.796290397644043
2010-10-19,8.94,9.126209,8.720677375793457
2010-10-20,8.92,8.916088,8.651949882507324
2010-10-21,8.79,8.947194,8.569929122924805
2010-10-22,8.84,8.901418,8.553362846374512
2010-10-25,8.54,8.807056,8.515374183654785
2010-10-26,8.57,8.820108,8.452950477600098
2010-10-27,8.79,8.901418,8.440558433532715
2010-10-28,8.74,8.901418,8.4320707321167
2010-10-29,8.74,8.916088,8.402739524841309
2010-11-01,8.79,8.947194,8.401679992675781
2010-11-02,8.64,8.807056,8.428107261657715
2010-11-03,8.59,8.777267,8.368517875671387
2010-11-04,8.62,8.756304,8.35922622680664
2010-11-05,8.69,8.820108,8.359590530395508
2010-11-08,8.54,8.589444,8.425093650817871
2010-11-09,8.42,8.438302,8.33884048461914
2010-11-10,8.34,8.438302,8.262516975402832
2010-11-11,8.09,8.066234,8.228092193603516
2010-11-12,8.04,8.369962,8.104401588439941
2010-11-15,8.17,8.066234,8.107776641845703
2010-11-16,7.86,8.048783,8.02056884765625
2010-11-17,7.92,7.889526,7.959640502929687
2010-11-18,7.76,7.9269505,7.818592548370361
2010-11-19,7.86,7.883236,7.820409297943115
2010-11-22,7.54,8.104579,7.7822265625
2010-11-23,7.99,8.476295,7.856655597686768
2010-11-24,8.29,8.438302,7.961609363555908
2010-11-25,8.29,8.628112,7.986067771911621
2010-11-26,8.32,8.438302,8.070599555969238
2010-11-29,8.27,8.757424,8.050461769104004
2010-11-30,8.54,8.664492,8.215079307556152
2010-12-01,8.52,8.476092,8.275650978088379
2010-12-02,8.22,8.438302,8.240046501159668
2010-12-03,8.29,8.586416,8.247990608215332
2010-12-06,8.42,8.548626,8.287144660949707
2010-12-07,8.29,8.438302,8.28258228302002
2010-12-08,8.27,8.066234,8.201272010803223
2010-12-09,7.81,8.381122,8.105679512023926
2010-12-10,8.24,8.487807,8.119909286499023
2010-12-13,8.59,8.988251,8.141722679138184
2010-12-14,8.99,9.366492,8.281477928161621
2010-12-15,9.41,9.756017,8.494325637817383
2010-12-16,9.69,9.624895,8.7174711227417
2010-12-17,9.41,10.16319,8.749794960021973
2010-12-20,9.87,10.065291,8.968344688415527
2010-12-21,9.63,9.89195,9.084931373596191
2010-12-22,9.75,9.398101,9.16226577758789
2010-12-23,9.29,9.45762,9.108553886413574
2010-12-24,9.23,9.238734,9.166241645812988
2010-12-27,9.14,9.243773,9.103856086730955
2010-12-28,8.87,9.238734,9.075274467468262
2010-12-29,9.14,9.433545,8.984993934631348
2010-12-30,9.02,9.595133,8.979506492614746
2010-12-31,9.45,10.152139,8.88460922241211
2011-01-04,9.9,9.72783,8.923909187316895
