,icb_name,en_icb_name,icb_code,level
114,"Tư Vấn, Định giá, Môi giới Bất động sản",Real Estate Services,8637,4
115,Quản lý tài sản,Asset Managers,8771,4
116,Tài chính cá nhân,Consumer Finance,8773,4
117,Tài chính đặc biệt,Specialty Finance,8775,4
118,Môi giới chứng khoán,Investment Services,8777,4
119,Quỹ đầu tư,Equity Investment Instruments,8985,4
120,Dịch vụ Máy tính,Computer Services,9533,4
121,Internet,Internet,9535,4
122,Phần mềm,Software,9537,4
123,Phần cứng,Computer Hardware,9572,4
124,Thiết bị văn phòng,Electronic Office Equipment,9574,4
125,Thiết bị viễn thông,Telecommunications Equipment,9578,4
126,Nguyên vật liệu,Basic Materials,1000,1
127,Công nghiệp,Industrials,2000,1
128,Hàng Tiêu dùng,Consumer Goods,3000,1
129,Dược phẩm và Y tế,Health Care,4000,1
130,Dịch vụ Tiêu dùng,Consumer Services,5000,1
131,Viễn thông,Telecommunications,6000,1
132,Tiện ích Cộng đồng,Utilities,7000,1
133,Tài chính,Financials,8000,1
134,Ngân hàng,Banks,8301,1
135,Công nghệ Thông tin,Technology,9000,1
136,Dầu khí,Oil & Gas,0500,2
137,Hóa chất,Chemicals,1300,2
138,Tài nguyên Cơ bản,Basic Resources,1700,2
139,Xây dựng và Vật liệu,Construction & Materials,2300,2
140,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2700,2
141,Ô tô và phụ tùng,Automobiles & Parts,3300,2
142,Thực phẩm và đồ uống,Food & Beverage,3500,2
143,Hàng cá nhân & Gia dụng,Personal & Household Goods,3700,2
144,Y tế,Health Care,4500,2
145,Bán lẻ,Retail,5300,2
146,Truyền thông,Media,5500,2
147,Du lịch và Giải trí,Travel & Leisure,5700,2
148,Viễn thông,Telecommunications,6500,2
149,"Điện, nước & xăng dầu khí đốt",Utilities,7500,2
150,Ngân hàng,Banks,8300,2
151,Bảo hiểm,Insurance,8500,2
152,Bất động sản,Real Estate,8600,2
153,Dịch vụ tài chính,Financial Services,8700,2
154,Công nghệ Thông tin,Technology,9500,2
